questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,manualDerivedAnswer,rendererVerdict,reason,recommendedAction,officialScopeEvidence,allStringFieldsRead,reviewedStringFieldCount,reviewedUnicodeCharacterCount,originalArtifactSha256,manualReviewer,manualReviewStatus
u02-s012-v001,u02,s012,fraction-complex-fraction-basic,mc,basic,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：2/3。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,424,8dc5b0f8e3e4f97dd52a88201664f4d55a956b1236f98ef4d9d0533c8dba9b00,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v002,u02,s012,fraction-complex-fraction-basic,mc,basic,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：3/4。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,431,88b1c838e43572b1cc08e9621556a1c5ebc3a2c08aa50ff167a552b123cb26f1,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v003,u02,s012,fraction-complex-fraction-basic,mc,basic,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：3/10。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,427,fa2cef67d4b7815a8d1af131f91f1895ba69b3a524e9c83f5233e318a4538926,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v004,u02,s012,fraction-complex-fraction-basic,mc,standard,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：15/4。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,419,a0fa76b7f64cee213ee3d81cd46f1f1b56e5aff43149566e0ed841da0e48e0ad,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v005,u02,s012,fraction-complex-fraction-basic,mc,standard,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：2/3。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,448,87ff639e0f2db6e5408f82edf3ebe0dfdf61756fb9cca45ddb100af929d740ec,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v006,u02,s012,fraction-complex-fraction-basic,mc,standard,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：7/5。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,418,6b9f64cd8650110028792506cec43590421902e5d9fdd7c4c897f9f6080cf904,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v007,u02,s012,fraction-complex-fraction-basic,mc,advanced,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：4/5。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,441,9288392b1ae76e3fa42cd1411c4006f40becf64a76806e3a3bedadf1d2918c8c,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v008,u02,s012,fraction-complex-fraction-basic,mc,advanced,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：3/4。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,443,7fdcd5c5af3acfa2f16b600968fdb18a0d9ea0e8b7719f2384dccc8356ee7535,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v009,u02,s012,fraction-complex-fraction-basic,mc,advanced,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：ad/(bc)。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,35,498,8c6e230999302b4afcf3b6addf5dba73c8c7b186d6cb2b882303fecb83af11b7,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
u02-s012-v010,u02,s012,fraction-complex-fraction-basic,mc,literacy,SCOPE_REPLACE,OUTSIDE_CONSERVATIVE_LOCKED_SCOPE|DUPLICATES_FRACTION_DIVISION|SKILL_REPLACEMENT_REQUIRED,True,True,重新計算後唯一正解為：4 份。,SLASH_HEAVY_PRESENTATION_RISK,數學結果多數正確，但整個技能以繁分數為核心，超出本專案保守鎖定範圍，且多題重複 S010 分數除法。,整個技能替換為「分數四則混合與括號」；不得把原 published 標記解讀為內容可保留。,依本專案保守官方範圍政策，繁分數不得作為必備獨立技能。,True,36,498,7f0b0c523e5a708f2dd3e1a2f30dca0bb34d91788b67df8393471716399e16b3,GPT-5.6 Thinking,COMPLETE_SUPPLEMENTAL_REOPEN
