authority_id,source_id,subject,official_code,raw_text,normalized_requirement,status,mapped_skill_ids,mapped_lecture_ids,mapped_question_ids,final_audit_record_id,notes
AUTH-CHINESE-LC-AB-4-1,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-1,"4,000個常用字的字形、字音和字義。","4,000個常用字的字形、字音和字義。",scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-2,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-2,"3,500個常用字的使用。","3,500個常用字的使用。",scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-3,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-3,基本的造字原則：象形、指事、會意、形聲。,基本的造字原則：象形、指事、會意、形聲。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-4,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-4,"6,500個常用語詞的認念。","6,500個常用語詞的認念。",scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-5,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-5,"5,000個常用語詞的使用。","5,000個常用語詞的使用。",scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-6,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-6,常用文言文的詞義及語詞結構。,常用文言文的詞義及語詞結構。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-7,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-7,常用文言文的字詞、虛字、古今義變。,常用文言文的字詞、虛字、古今義變。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AB-4-8,NAER-CURRICULUM-CHINESE,chinese,Ab-Ⅳ-8,各體書法與名家碑帖的認識與欣賞。,各體書法與名家碑帖的認識與欣賞。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AC-4-1,NAER-CURRICULUM-CHINESE,chinese,Ac-Ⅳ-1,標點符號在文本中的不同效果。,標點符號在文本中的不同效果。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AC-4-2,NAER-CURRICULUM-CHINESE,chinese,Ac-Ⅳ-2,敘事、有無、判斷、表態等句型。,敘事、有無、判斷、表態等句型。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AC-4-3,NAER-CURRICULUM-CHINESE,chinese,Ac-Ⅳ-3,文句表達的邏輯與意義。,文句表達的邏輯與意義。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AD-4-1,NAER-CURRICULUM-CHINESE,chinese,Ad-Ⅳ-1,篇章的主旨、結構、寓意與分析。,篇章的主旨、結構、寓意與分析。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AD-4-2,NAER-CURRICULUM-CHINESE,chinese,Ad-Ⅳ-2,新詩、現代散文、現代小說、劇本。,新詩、現代散文、現代小說、劇本。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AD-4-3,NAER-CURRICULUM-CHINESE,chinese,Ad-Ⅳ-3,韻文：如古體詩、樂府詩、近體詩、詞、曲等。,韻文：如古體詩、樂府詩、近體詩、詞、曲等。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-AD-4-4,NAER-CURRICULUM-CHINESE,chinese,Ad-Ⅳ-4,非韻文：如古文、古典小說、語錄體、寓言等。,非韻文：如古文、古典小說、語錄體、寓言等。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BA-4-1,NAER-CURRICULUM-CHINESE,chinese,Ba-Ⅳ-1,順敘、倒敘、插敘與補敘法。,順敘、倒敘、插敘與補敘法。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BA-4-2,NAER-CURRICULUM-CHINESE,chinese,Ba-Ⅳ-2,各種描寫的作用及呈現的效果。,各種描寫的作用及呈現的效果。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BB-4-1,NAER-CURRICULUM-CHINESE,chinese,Bb-Ⅳ-1,自我及人際交流的感受。,自我及人際交流的感受。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BB-4-2,NAER-CURRICULUM-CHINESE,chinese,Bb-Ⅳ-2,對社會群體與家國民族情感的體會。,對社會群體與家國民族情感的體會。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BB-4-3,NAER-CURRICULUM-CHINESE,chinese,Bb-Ⅳ-3,對物或自然以及生命的感悟。,對物或自然以及生命的感悟。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BB-4-4,NAER-CURRICULUM-CHINESE,chinese,Bb-Ⅳ-4,直接抒情。,直接抒情。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BB-4-5,NAER-CURRICULUM-CHINESE,chinese,Bb-Ⅳ-5,藉由敘述事件與描寫景物間接抒情。,藉由敘述事件與描寫景物間接抒情。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BC-4-1,NAER-CURRICULUM-CHINESE,chinese,Bc-Ⅳ-1,具邏輯、客觀、理性的說明，如科學知識、產品、環境、制度等說明。,具邏輯、客觀、理性的說明，如科學知識、產品、環境、制度等說明。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BC-4-2,NAER-CURRICULUM-CHINESE,chinese,Bc-Ⅳ-2,描述、列舉、因果、問題解決、比較、分類、定義等寫作手法。,描述、列舉、因果、問題解決、比較、分類、定義等寫作手法。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BC-4-3,NAER-CURRICULUM-CHINESE,chinese,Bc-Ⅳ-3,數據、圖表、圖片、工具列等輔助說明。,數據、圖表、圖片、工具列等輔助說明。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BD-4-1,NAER-CURRICULUM-CHINESE,chinese,Bd-Ⅳ-1,以事實、理論為論據，達到說服、建構、批判等目的。,以事實、理論為論據，達到說服、建構、批判等目的。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-BD-4-2,NAER-CURRICULUM-CHINESE,chinese,Bd-Ⅳ-2,論證方式如比較、比喻等。,論證方式如比較、比喻等。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BE-4-1,NAER-CURRICULUM-CHINESE,chinese,Be-Ⅳ-1,在生活應用方面，以自傳、簡報、新聞稿等格式與寫作方法為主。,在生活應用方面，以自傳、簡報、新聞稿等格式與寫作方法為主。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BE-4-2,NAER-CURRICULUM-CHINESE,chinese,Be-Ⅳ-2,在人際溝通方面，以書信、便條、對聯等之慣用語彙與書寫格式為主。,在人際溝通方面，以書信、便條、對聯等之慣用語彙與書寫格式為主。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-BE-4-3,NAER-CURRICULUM-CHINESE,chinese,Be-Ⅳ-3,在學習應用方面，以簡報、讀書報告、演講稿、劇本等格式與寫作方法為主。,在學習應用方面，以簡報、讀書報告、演講稿、劇本等格式與寫作方法為主。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LC-CA-4-1,NAER-CURRICULUM-CHINESE,chinese,Ca-Ⅳ-1,各類文本中的飲食、服飾、建築形式、交通工具、名勝古蹟及休閒娛樂等文化內涵。,各類文本中的飲食、服飾、建築形式、交通工具、名勝古蹟及休閒娛樂等文化內涵。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-CA-4-2,NAER-CURRICULUM-CHINESE,chinese,Ca-Ⅳ-2,各類文本中表現科技文明演進、生存環境發展的文化內涵。,各類文本中表現科技文明演進、生存環境發展的文化內涵。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-CB-4-1,NAER-CURRICULUM-CHINESE,chinese,Cb-Ⅳ-1,各類文本中的親屬關係、道德倫理、儀式風俗、典章制度等文化內涵。,各類文本中的親屬關係、道德倫理、儀式風俗、典章制度等文化內涵。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-CB-4-2,NAER-CURRICULUM-CHINESE,chinese,Cb-Ⅳ-2,各類文本中所反映的個人與家庭、鄉里、國族及其他社群的關係。,各類文本中所反映的個人與家庭、鄉里、國族及其他社群的關係。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LC-CC-4-1,NAER-CURRICULUM-CHINESE,chinese,Cc-Ⅳ-1,各類文本中的藝術、信仰、思想等文化內涵。,各類文本中的藝術、信仰、思想等文化內涵。,scope-reviewed-required-unmapped,,,,,assessmentRole=chinese-choice-and-writing;marker=◎;appendix=none;limits=none
AUTH-CHINESE-LP-1-4-1,NAER-CURRICULUM-CHINESE,chinese,1-Ⅳ-1,以同理心，聆聽各項發言，並加以記錄、歸納。,以同理心，聆聽各項發言，並加以記錄、歸納。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-1-4-2,NAER-CURRICULUM-CHINESE,chinese,1-Ⅳ-2,依據不同情境，分辨聲情意涵及表達技巧，適切回應。,依據不同情境，分辨聲情意涵及表達技巧，適切回應。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-1-4-3,NAER-CURRICULUM-CHINESE,chinese,1-Ⅳ-3,分辨聆聽內容的邏輯性，找出解決問題的方法。,分辨聆聽內容的邏輯性，找出解決問題的方法。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-1-4-4,NAER-CURRICULUM-CHINESE,chinese,1-Ⅳ-4,靈活應用科技與資訊，增進聆聽能力，加強互動學習效果。,靈活應用科技與資訊，增進聆聽能力，加強互動學習效果。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-2-4-1,NAER-CURRICULUM-CHINESE,chinese,2-Ⅳ-1,掌握生活情境，適切表情達意，分享自身經驗。,掌握生活情境，適切表情達意，分享自身經驗。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-2-4-2,NAER-CURRICULUM-CHINESE,chinese,2-Ⅳ-2,有效把握聽聞內容的邏輯，做出提問或回饋。,有效把握聽聞內容的邏輯，做出提問或回饋。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-2-4-3,NAER-CURRICULUM-CHINESE,chinese,2-Ⅳ-3,依理解的內容，明確表達意見，進行有條理的論辯，並注重言談禮貌。,依理解的內容，明確表達意見，進行有條理的論辯，並注重言談禮貌。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-2-4-4,NAER-CURRICULUM-CHINESE,chinese,2-Ⅳ-4,靈活運用科技與資訊，豐富表達內容。,靈活運用科技與資訊，豐富表達內容。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-2-4-5,NAER-CURRICULUM-CHINESE,chinese,2-Ⅳ-5,視不同情境，進行報告、評論、演說及論辯。,視不同情境，進行報告、評論、演說及論辯。,scope-reviewed-required-unmapped,,,,,assessmentRole=curriculum-required-not-separately-scored;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-4-4-1,NAER-CURRICULUM-CHINESE,chinese,4-Ⅳ-1,"認識國字至少4,500字，使用3,500字。","認識國字至少4,500字，使用3,500字。",scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-4-4-2,NAER-CURRICULUM-CHINESE,chinese,4-Ⅳ-2,認識造字的原則，輔助識字，了解文字的形、音、義。,認識造字的原則，輔助識字，了解文字的形、音、義。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-4-4-3,NAER-CURRICULUM-CHINESE,chinese,4-Ⅳ-3,能運用字典或辭典了解一字多音及一字多義的現象。,能運用字典或辭典了解一字多音及一字多義的現象。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-4-4-4,NAER-CURRICULUM-CHINESE,chinese,4-Ⅳ-4,認識各種書體，欣賞名家碑帖。,認識各種書體，欣賞名家碑帖。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-4-4-5,NAER-CURRICULUM-CHINESE,chinese,4-Ⅳ-5,欣賞書法的行款和布局、行氣及風格。,欣賞書法的行款和布局、行氣及風格。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-1,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-1,比較不同標點符號的表達效果，流暢朗讀各類文本，並表現情感的起伏變化。,比較不同標點符號的表達效果，流暢朗讀各類文本，並表現情感的起伏變化。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-2,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-2,理解各類文本的句子、段落與主要概念，指出寫作的目的與觀點。,理解各類文本的句子、段落與主要概念，指出寫作的目的與觀點。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-3,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-3,理解各類文本內容、形式和寫作特色。,理解各類文本內容、形式和寫作特色。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-4,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-4,應用閱讀策略增進學習效能，整合跨領域知識轉化為解決問題的能力。,應用閱讀策略增進學習效能，整合跨領域知識轉化為解決問題的能力。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-5,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-5,大量閱讀多元文本，理解議題內涵及其與個人生活、社會結構的關聯性。,大量閱讀多元文本，理解議題內涵及其與個人生活、社會結構的關聯性。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-5-4-6,NAER-CURRICULUM-CHINESE,chinese,5-Ⅳ-6,運用圖書館(室)、科技工具，蒐集資訊、組織材料，擴充閱讀視野。,運用圖書館(室)、科技工具，蒐集資訊、組織材料，擴充閱讀視野。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-choice;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-6-4-1,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-1,善用標點符號，增進情感表達及說服力。,善用標點符號，增進情感表達及說服力。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-6-4-2,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-2,依據審題、立意、取材、組織、遣詞造句、修改潤飾，寫出結構完整、主旨明確、文辭優美的文章。,依據審題、立意、取材、組織、遣詞造句、修改潤飾，寫出結構完整、主旨明確、文辭優美的文章。,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
AUTH-CHINESE-LP-6-4-3,NAER-CURRICULUM-CHINESE,chinese,6-Ⅳ-3,靈活運用仿寫、改寫等技巧，增進寫作能力,靈活運用仿寫、改寫等技巧，增進寫作能力,scope-reviewed-required-unmapped,,,,,assessmentRole=direct-chinese-writing;marker=none;appendix=none;limits=none
