subject,query_or_route,searched_at,result_url,publisher,authority_level,included_or_rejected,reason,source_hash,notes
english,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
chinese,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
geography,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
history,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
civics,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
biology,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
physics_chemistry,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
earth_science,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
math,PUB-NANI-HOME-20260714,2026-07-14,https://www.nani.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-metadata-only,public-landing-page,2750b6bb824dc618a41628f90af7faac879d28f32f5eca47780334d3ad72d465,landing-page-semantic-review; Official publisher identity and public service routes only; no textbook prose was acquired.
english,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
chinese,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
geography,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
history,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
civics,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
biology,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
physics_chemistry,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
earth_science,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
math,PUB-NANI-TEACHER-20260714,2026-07-14,https://teacher.oneclass.com.tw/jteacher/,南一書局企業股份有限公司,secondary-reference-only,excluded-protected-content,teacher-account-required,,public-search-metadata-and-access-boundary-review; The public entry states that teaching files appear after login; no account bypass or protected download was attempted.
english,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
chinese,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
geography,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
history,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
civics,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
biology,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
physics_chemistry,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
earth_science,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
math,PUB-NANI-ONEBOX-20260714,2026-07-14,https://onebox.oneclass.com.tw/,南一書局企業股份有限公司,secondary-reference-only,included-access-boundary-only,public-description-protected-downloads,0ed880a130984282eb8c64e982a2f120c897b50796d0820cff34912ea47f3cf1,"complete-public-page-semantic-review; Electronic books, banks, videos and plans require a verified teacher account and are limited to teaching use; none was copied."
