artifactId,artifactType,fieldPath,utf8Sha256,unicodeCharacterCount,utf8ByteCount
u01-s002-lecture-r1,lecture,lectureId,cedc39b72371bbd591203b38a2fd91e1803ab661e6d560ce44abc8da22cb3612,19,19
u01-s002-lecture-r1,lecture,unitId,2055254ee30aaae13b777732834c89d7f799015d3af13b62fe05aeef8c3e0eaa,3,3
u01-s002-lecture-r1,lecture,topicId,e7d9d88eb7596ecb66c83bcfd7a554baef7612744a495523f5f8fae90be63bc7,18,18
u01-s002-lecture-r1,lecture,skillId,9acb7068b50b71b0be599486518d6c00dc6d3db8f17524202c8211f780bf2672,33,33
u01-s002-lecture-r1,lecture,title,412703912104a811300439754b9142c07bfff843342c63ceb7956f50ee9d271e,17,51
u01-s002-lecture-r1,lecture,audience,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f,10,30
u01-s002-lecture-r1,lecture,reviewStatus,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb,22,22
u01-s002-lecture-r1,lecture,learningOutcomes[0],843490227b85855238d83225542a1197e65fe560022a79a9cfa5a0b54d8bff83,12,36
u01-s002-lecture-r1,lecture,learningOutcomes[1],9d405299f055708c0dbe7a609e22f34d409e4552c0e92456e8fbb7d4e45a61a9,16,48
u01-s002-lecture-r1,lecture,learningOutcomes[2],07210b01668f01b9e49e4f033505666e023e68d6bbf38e2ce65fc453455b2162,24,72
u01-s002-lecture-r1,lecture,learningOutcomes[3],1413f218a68669445ea3d9ec6eb6d519a424b54fd65f78d90c5a1933f2021b72,15,45
u01-s002-lecture-r1,lecture,learningOutcomes[4],5d570fc9a0deaf712d5d30987d9dd9a23d1a3d810ff90106f768575e21d466a9,11,33
u01-s002-lecture-r1,lecture,prerequisites[0].skillId,be94500938e9d6dffee7df9d3bb0232a3329c3f06b4e490dec770b124e66f5f7,29,29
u01-s002-lecture-r1,lecture,prerequisites[0].requiredLevel,583ec3dabcc21913487b242b44bdd6bb4839c4a5361378415ada877b42ae8110,28,80
u01-s002-lecture-r1,lecture,glossary[0].term,f749ccbad6a4355bf913f33518d066b2880126c46f3b7da1a43c21d4ce469697,3,9
u01-s002-lecture-r1,lecture,glossary[0].definition,72003eaad5c19f834523acfa4a93bac3a8a87c630b0a00cb0196db8f073ce56b,26,72
u01-s002-lecture-r1,lecture,glossary[1].term,35289d0715eae90c646440c9134f623d64ebeddc1f2dbbed63905c5992327c84,3,9
u01-s002-lecture-r1,lecture,glossary[1].definition,cdf81e72eaa1ea4e478488b9574ee1ecca372d7016e79eb3afb8166228e119e9,24,72
u01-s002-lecture-r1,lecture,glossary[2].term,b2aca5c9451376ca204141ed38cdbf77882b7fa8562806c8ab8e5a995c3a8086,3,9
