artifactId,artifactType,fieldPath,unicodeCharacterCount,utf8ByteCount,utf8Sha256
u03-s013-lecture-r1,lecture,lectureId,19,19,254aba9d16ed039c8317157514fb1c112ada1759f6a2c8d3fb526d7e97a595fa
u03-s013-lecture-r1,lecture,unitId,3,3,97ce842ec69dee17c1842918e63b9d4042fa4b35007146dcfb80a09c5000888a
u03-s013-lecture-r1,lecture,topicId,29,29,16eba8e6421b4779da94d46faca02d25b8d4852d17812a4e18690b3125d5c87a
u03-s013-lecture-r1,lecture,skillId,30,30,e0866261f060c5a853dccab8412e388f208583a57267cff00685eb06fda5c38e
u03-s013-lecture-r1,lecture,title,21,63,d35531909aefffe656cfed4f1f312d3b5edaf5f7508617f74d1d69dedf929316
u03-s013-lecture-r1,lecture,audience,10,30,e6b4416fbd9f36797de01256b31a4d6f6314e126fde8495e25792c814f64fc5f
u03-s013-lecture-r1,lecture,reviewStatus,22,22,ec809598e2f7fcc69fad54c9cd045bba62b4a0dc7c0ff90d4efdc3788c9ad8fb
u03-s013-lecture-r1,lecture,learningOutcomes[0],14,42,16a00bea0bb39abe6d823eb39a1c902c10b8397a139f524208d76df22f996cdc
u03-s013-lecture-r1,lecture,learningOutcomes[1],15,45,f97682dd68e733755a6040cfc094aaae3abb915b5b9ea20779e69919a6993720
u03-s013-lecture-r1,lecture,learningOutcomes[2],15,45,9bb041375fbedd574dfa9b4793b6e750fe49dd4342e2ad33fe05578f539d7887
u03-s013-lecture-r1,lecture,learningOutcomes[3],20,60,e350b5387b08b049cba5f1a0742caba1c4217ac46598ce8dceb90489e9865e94
u03-s013-lecture-r1,lecture,prerequisites[0].skillId,36,36,ab55f46b30f80baee275a7157304db8c22ba597d44a562fd57010de35f811ea2
u03-s013-lecture-r1,lecture,prerequisites[0].requiredLevel,23,69,89f40f03a01eaa17d967fe7defc45df1684d86e0c823b9049b96b8d53230ca14
u03-s013-lecture-r1,lecture,glossary[0].term,4,12,334d14709c7cf81f9ba2faeb50c739179e5b4c15abf5a2ce3df881a78a511c0b
u03-s013-lecture-r1,lecture,glossary[0].definition,18,54,d7e6d1794486bf66731b86d0f2b2c566354da6c284877e86fa830cba86e38bbf
u03-s013-lecture-r1,lecture,glossary[1].term,3,9,e53b8da869559db6ddc457dd19a82c0065f4fb4ed4b7d5ac75d395f0fee95535
u03-s013-lecture-r1,lecture,glossary[1].definition,22,66,a140a671aa8ab09c635f14f65b50f7a3c37adced79bc1eb4263e1da0b6abd723
u03-s013-lecture-r1,lecture,glossary[2].term,3,9,07d90b5221c4fd60d1c11da784b9874b25644dacd172df9768471a389761e548
u03-s013-lecture-r1,lecture,glossary[2].definition,17,51,e9d51c89f2fe19dccf7a566d9e2702c1785c9184ecefdfd03901f2800242d794
u03-s013-lecture-r1,lecture,glossary[3].term,3,9,3f8ed67b0893910e902b41fa64d9cc6d41a87d4496852ff3b3493a4f3d1832c2
u03-s013-lecture-r1,lecture,glossary[3].definition,16,48,b0e7798b7609828d62f6ee2e6f51f15de9329f0002728de3b6f0eba33f2f5b1f
u03-s013-lecture-r1,lecture,notation[0].symbol,4,10,619af45414c90a330566059ff7de2ad29cbe9b6f118c2a91a392946d59fead9d
u03-s013-lecture-r1,lecture,notation[0].meaning,18,54,a5735b38df26c21e47b09a996aa88d1553dce158aeb768cb9fdc32c0e33ac549
u03-s013-lecture-r1,lecture,notation[1].symbol,3,3,17be29a8a74e899495ca5b35ae16f9810c721e4745dd6d6cc1e1bb42f71d87e9
u03-s013-lecture-r1,lecture,notation[1].meaning,9,27,e0e6ffdf77ebe06e089532a2765d50b384b785283d7118d81223ea8ac6d9f694
u03-s013-lecture-r1,lecture,conceptNarrative[0],31,87,2e7ebd27dfd070637e196ca64f66358840031cebaa8ecda3e6c6b45f9120d4ec
u03-s013-lecture-r1,lecture,conceptNarrative[1],32,96,ef51fc00a108d9c784b2c79916f2e92f060b46aaad65c855325564f25ac8b77c
u03-s013-lecture-r1,lecture,conceptNarrative[2],29,87,f15177929c288fb3ce5a186cf0aa3f7570cc463b891a6b81c26c9384b81f3fcd
u03-s013-lecture-r1,lecture,conceptNarrative[3],36,108,4b932133670b7c2e6d8bbefa94bc7fc00b1690c9f9ad22043d6dd7b47e244e63
u03-s013-lecture-r1,lecture,formalDefinitions[0].name,4,12,015ecbe831d3f582d4330872306149ca679952d0cdbfd580467cb29a1ac7a7de
u03-s013-lecture-r1,lecture,formalDefinitions[0].statement,15,45,71658c1f00824910d96059b60b4198c91c0e776a3c99f96254dcdf302ceb82fe
u03-s013-lecture-r1,lecture,formalDefinitions[1].name,5,15,f5f3207e36761b42f3e450d251cc29b5e0475e8eef488b8157e5b32b932f2037
u03-s013-lecture-r1,lecture,formalDefinitions[1].statement,29,87,2ca69640f52b817d97ebd83e910de291800e2c51f3431999f6f71d70a420e773
u03-s013-lecture-r1,lecture,formulas[0].formula,15,41,92e327080953a14be28036e5753dcbd5e767a30b4652f5924b3128e70fa33822
u03-s013-lecture-r1,lecture,formulas[0].conditions[0],8,24,0ceb92a9566efd20d246c5c8b3e3a79f515bd2d51262c3471c72193cdfc55ac6
u03-s013-lecture-r1,lecture,formulas[0].meaning,8,24,2d104f221a49c96753aa986329662fe00d1ff297dad2453e9b1a9cfd8a9b579c
u03-s013-lecture-r1,lecture,nonApplicableCases[0],18,54,50b88287e28d1dc80499e3ccbb5e11b29858a945b3dc5634389e1c4219953e96
u03-s013-lecture-r1,lecture,nonApplicableCases[1],24,64,195b893e0a5c1c47939aa4945345ef947be53b4e25481ce91e4b406fe1aa8263
