reviewSequence,questionId,questionType,originalPrompt,choicesJson,currentSkillId,currentSkillTitle,verdict,reason,recommendedReplacementSkill,productionAction
365,u02-s012-v001,mc,(1/2)/(3/4) 等於多少？,"[""2/3"", ""3/8"", ""3/2"", ""6/4""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
366,u02-s012-v002,mc,(5/6)/(10/9) 等於多少？,"[""25/27"", ""3/4"", ""4/3"", ""50/54""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
367,u02-s012-v003,mc,(3/5)/2 等於多少？,"[""6/5"", ""3/3"", ""3/10"", ""2/5""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
368,u02-s012-v004,mc,3/(4/5) 等於多少？,"[""3/5"", ""12/5"", ""5/12"", ""15/4""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
369,u02-s012-v005,mc,(2/3+1/6)/(5/4) 等於多少？,"[""2/3"", ""5/6"", ""3/5"", ""4/5""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
370,u02-s012-v006,mc,(7/8)/(1-3/8) 等於多少？,"[""5/7"", ""7/5"", ""7/8"", ""1""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
371,u02-s012-v007,mc,[(1/2)/(3/4)]÷(5/6) 等於多少？,"[""2/5"", ""5/9"", ""4/5"", ""9/5""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
372,u02-s012-v008,mc,(3/4-1/6)/(2/3+1/9) 等於多少？,"[""7/12"", ""7/9"", ""4/3"", ""3/4""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
373,u02-s012-v009,mc,"若 x=(a/b)/(c/d)，且 a,b,c,d 均非 0，則 x 等於何者？","[""ad/(bc)"", ""ac/(bd)"", ""bd/(ac)"", ""bc/(ad)""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,REPLACE,"Uses nested/complex-fraction notation as the central assessed skill. Replace with age-appropriate fraction four-operation work using explicit ÷ and parentheses, not a fraction inside a fraction.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
374,u02-s012-v010,mc,濃縮液配方要求原液 3/5 公升平均分成每份 3/20 公升，可分幾份？,"[""3 份"", ""4 份"", ""5 份"", ""6 份""]",fraction-complex-fraction-basic,繁分數基本化簡：把主分數線讀成除法，分層處理上下運算,SCOPE_REPAIR,"Mathematically valid ordinary fraction word problem, but misclassified under the out-of-scope complex-fraction skill. Move and re-review under ordinary fraction multiplication/division or literacy.",分數四則混合運算與括號,"Do not patch production until the entire 4,746-question audit and replacement content are complete."
