reviewSequence,questionId,unitId,skillSlot,skillId,skillTitle,questionType,difficulty,primaryText,choicesJson,answerIndex,figureId,initialVerdict,reviewNote,autoFlags,directRendererDefectCount,allRendererDefectCount,contentSha256,contentAuthority
1,u01-s001-v001,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,basic,下列哪一個數是整數？,"[""2/5"", ""-12"", ""0.4"", ""√3""]",1,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,971cd90eb756d2e3c06293b5750d774ab91d5698bcc3de971214633e170c59e6,CHATGPT_HUMAN_AUTHORED_R1
2,u01-s001-v002,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,basic,下列哪一個數是有理數？,"[""π"", ""√11"", ""-7/9"", ""√2""]",2,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,e424c81b486bd0599abbd85bf554ae2ff79148272000250af87b042803891821,CHATGPT_HUMAN_AUTHORED_R1
3,u01-s001-v003,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,basic,關於 0 的分類，下列敘述何者正確？,"[""0 是正整數"", ""0 是負整數"", ""0 是無理數"", ""0 是整數也是有理數，但不是正整數或負整數""]",3,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,4bf0f291c6b21df0350fd6669341cc9a48a8154467c929c02d073cdbfb5d38bd,CHATGPT_HUMAN_AUTHORED_R1
4,u01-s001-v004,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,standard,下列敘述何者一定正確？,"[""每一個整數都是有理數"", ""每一個有理數都是整數"", ""每一個負數都是負整數"", ""每一個有根號符號的數都是無理數""]",0,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,43f02e10e09a5e21b947b22ed4cdf1b64d58e0d500113bdf7a05928f92f27711,CHATGPT_HUMAN_AUTHORED_R1
5,u01-s001-v005,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,standard,將 √49 化簡後，它屬於下列哪一類？,"[""無理數，但不是有理數"", ""正分數，但不是整數"", ""正整數，也是有理數"", ""只能說是實數，無法再分類""]",2,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,0f5557095178fd3a33d57af79e25a5abc067bcc0fbb1a322d50f63f1257e7f7d,CHATGPT_HUMAN_AUTHORED_R1
6,u01-s001-v006,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,standard,小數 0.272727… 中，「27」持續重複。下列敘述何者正確？,"[""它是無理數，因為小數位數無限"", ""它是有理數，因為它是循環小數"", ""它是整數，因為重複規律固定"", ""無法判斷，因為沒有寫完所有小數位""]",1,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,a36a5f983a04cd7e980e490f72937dfc4537a4d9d14a31d94402db03c491fa22,CHATGPT_HUMAN_AUTHORED_R1
7,u01-s001-v007,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,advanced,下列哪一組中的四個數全部都是有理數？,"[""-5、0、3/8、√81"", ""2/3、π、-4、0.6"", ""√2、7、0.125、-9/2"", ""√5、√16、1/7、-3""]",0,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,a6e94617d640c653e13f808260ef606276e5a4062de2737c88143b65f02cf474,CHATGPT_HUMAN_AUTHORED_R1
8,u01-s001-v008,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,advanced,下列哪一個數是「有理數但不是整數」？,"[""6"", ""√7"", ""π"", ""-11/4""]",3,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,bb000fbb3e05132cbf06afd7285b50e8c7a92eedffed10c92b283f136c0bbd11,CHATGPT_HUMAN_AUTHORED_R1
9,u01-s001-v009,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,advanced,已知 x=(√36-8)/2，則 x 的分類何者正確？,"[""x 是正整數，也是有理數"", ""x 是負整數，也是有理數"", ""x 是有理數但不是整數"", ""x 是無理數""]",1,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,89122892675bd0165fdd66c59f8b2300fb69276fc8a6cdeb3f9101967a8e025d,CHATGPT_HUMAN_AUTHORED_R1
10,u01-s001-v010,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,literacy,某資料庫只能以「兩個整數的比」精確儲存數值。工程師要輸入下列四筆校正值，哪一筆無法用此格式精確儲存？,"[""0.125"", ""√25"", ""π"", ""-7/3""]",2,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,c951d70d22f35445a50c81b4ad70e8c42451551ee8f0a579246556013d8e55c3,CHATGPT_HUMAN_AUTHORED_R1
11,u01-s001-v011,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,literacy,木工圖面要求每一個長度都必須能精確改寫成整數或分數公分，不能只填近似值。下列哪一段長度無法符合此規定？,"[""√2 公分"", ""1.25 公分"", ""7/4 公分"", ""√9 公分""]",0,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,3879dba9a55378b06e24f9c32e16ecda7d0253b0968c599c6d507f6044c5f435,CHATGPT_HUMAN_AUTHORED_R1
12,u01-s001-v012,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,mc,literacy,檢測程式會先把輸入式化簡，再將有理數標記為「可用分數精確表示」。下列哪一筆最後不會被標記？,"[""(√64)/4"", ""0.444…（4 持續循環）"", ""(5-9)/2"", ""√10""]",3,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,2912df841ad7fdd14416a0a895f0abf412f204a530bebc2260b332ecae1fca1d,CHATGPT_HUMAN_AUTHORED_R1
13,u01-s001-cr001,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,cr,standard,將下列各數分成「整數」、「有理數但不是整數」、「無理數」三類，並在每一個數後寫出判斷理由：-4、0.75、0、√36、√7、0.181818…（18 持續循環）。,[],,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,ee0bd9f73d08674cbf29235127d4bd402c6a20122feb78cf542e123f1cd69106,CHATGPT_HUMAN_AUTHORED_R1
14,u01-s001-cr002,u01,s001,integer-number-classification,數的分類：整數與有理數和無理數,cr,advanced,小芸說：「只要數字有根號就是無理數；只要寫成小數就是有理數。」請判斷這兩句話是否正確。每一句若不正確，請各舉一個反例並解釋。,[],,,REVISED_AND_REVIEWED,U01-S001 replaced with prerequisite-safe integer/rational classification content.,,0,0,ae63e8f8049370b9c7704d31769a3ea64308ceedb5247c9c6462427746ea9741,CHATGPT_HUMAN_AUTHORED_R1
15,u01-s002-v001,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,basic,以海平面為 0 公尺，潛水艇位在海平面下 35 公尺，應記為何者？,"[""-35 公尺"", ""+35 公尺"", ""35 公尺（不含方向）"", ""0 公尺""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,a4bbe4307647c10b5139d33ebf5a7a155d3768a18e5062c2a11aace2edcb29e0,CHATGPT_HUMAN_AUTHORED_R1
16,u01-s002-v002,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,basic,以帳戶餘額不變為基準，存入 500 元的變化量應記為何者？,"[""-500 元"", ""+500 元"", ""0 元"", ""+1 元""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,972a03805300070fdc00a22d03230e4dbf4832b7f43e7403fa6d9564b9478135,CHATGPT_HUMAN_AUTHORED_R1
17,u01-s002-v003,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,basic,某零件以標準重量 100 克為基準，實際重量為 98 克。它相對標準的偏差為何？,"[""+98 克"", ""-98 克"", ""-2 克"", ""+2 克""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,8cdd02c0f6b52637b23a6a0548f7df533c000b314357c015c1ba2281ac71b39f,CHATGPT_HUMAN_AUTHORED_R1
18,u01-s002-v004,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,standard,測站以 20°C 為基準，某次紀錄的溫度偏差為 -6°C。實際溫度是多少？,"[""-26°C"", ""-6°C"", ""26°C"", ""14°C""]",3,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,4420c38a4617e5dc71cdc71bbeff00679edd5e3eb07612dc9f497f20537847db,CHATGPT_HUMAN_AUTHORED_R1
19,u01-s002-v005,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,standard,地圖規定向東為正方向。甲地在基準點西方 8 公里，乙地在基準點東方 3 公里，兩地的帶號位置依序為何？,"[""-8 公里、+3 公里"", ""+8 公里、-3 公里"", ""-8 公里、-3 公里"", ""+8 公里、+3 公里""]",0,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,87a2eac02798434d3fe4986c042b319d7ff3494aa25ae7fcd2e741890ddb327a,CHATGPT_HUMAN_AUTHORED_R1
20,u01-s002-v006,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,standard,某溫度紀錄起始為 -4°C，之後變化量為 +9°C。最後溫度為何？,"[""-13°C"", ""5°C"", ""9°C"", ""13°C""]",1,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,ae0670ebb2bc82d07256b89e28431e44eb6c6045072c6991578f2a19be3f568d,CHATGPT_HUMAN_AUTHORED_R1
21,u01-s002-v007,u01,s002,integer-positive-negative-meaning,正負數的意義：用基準和方向讀懂紀錄,mc,advanced,某測量以 150 公分為基準。甲的偏差為 +12 公分，乙的偏差為 -7 公分。甲、乙實際長度相差多少？,"[""5 公分"", ""12 公分"", ""19 公分"", ""169 公分""]",2,,PENDING_MANUAL,Not yet manually adjudicated. No PASS status has been assigned.,,0,0,70472d7d272f031b7bd991fe253bdc3e0daeb19f888bfb7782a7175603dc7308,CHATGPT_HUMAN_AUTHORED_R1
