questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,manualDerivedAnswer,rendererVerdict,reason,recommendedAction,officialScopeEvidence,allStringFieldsRead,reviewedStringFieldCount,reviewedUnicodeCharacterCount,originalArtifactSha256,manualReviewer,manualReviewStatus
u01-s010-v001,u01,s010,integer-multiplication-division,mc,basic,PASS,,True,True,(-4)×6=-24。,SAFE,題幹、四個選項、唯一正解、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,380,2517704c2171c9c57bb01c7a4ca27b6d10174a99e55e9258729d68eab7ddc209,GPT-5.6 Thinking,COMPLETE
u01-s010-v002,u01,s010,integer-multiplication-division,mc,basic,PASS,,True,True,(-35)÷7=-5。,SAFE,題幹、四個選項、唯一正解、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,377,d1ecb859e5fe26939a1d527c9955c6966802ee462640db462509908a5f961136,GPT-5.6 Thinking,COMPLETE
u01-s010-v003,u01,s010,integer-multiplication-division,mc,basic,PASS,,True,True,(-8)×(-3)=24。,SAFE,題幹、四個選項、唯一正解、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,378,c28649c45e8a5d2fddc521036c2648725c76d18ec18f41e752464731604605e3,GPT-5.6 Thinking,COMPLETE
u01-s010-v004,u01,s010,integer-multiplication-division,mc,standard,PASS,,True,True,72÷(-9)=-8。,SAFE,題幹、四個選項、唯一正解、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,381,e126f7994b771dd3dd86326431363352aa9c750b9d205efb01eaafcdae7f52f0,GPT-5.6 Thinking,COMPLETE
u01-s010-v005,u01,s010,integer-multiplication-division,mc,standard,PASS,,True,True,三個負因數，乘積為負；2×3×5=30，所以 -30。,SAFE,題幹、四個選項、唯一正解、answerIndex、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,428,7cb47faa548757552e6a48f4ddf528ea98da8580d24297936ac4136d3a4360e7,GPT-5.6 Thinking,COMPLETE
u01-s010-v006,u01,s010,integer-multiplication-division,mc,standard,FORMAT_REPAIR,SLASH_NOTATION_IN_OPTION_ANALYSIS,True,True,(-96)÷(-12)=8。,SAFE,數學與答案正確，但正確選項分析寫成 (-96)/(-12)，與網站的正式除號格式不一致，也會增加 renderer 風險。,將 (-96)/(-12)=8 改為 (-96)÷(-12)=8。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,384,11b5e0d809c071640883e24cb84850ff948d710188c2d29be5f437e6790d277f,GPT-5.6 Thinking,COMPLETE
u01-s010-v007,u01,s010,integer-multiplication-division,mc,advanced,DIFFICULTY_REPAIR,DIFFICULTY_TOO_HIGH,True,True,(-2)×5×(-3)×(-1)=-30。,SAFE,數學、答案和解析正確，但只需例行符號判斷或乘除互逆，現有 advanced 標示不足以反映真正進階推理。,降為 standard，並在本技能另設需要多步條件判斷的 advanced 題以維持 3/3/3/3 分布。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,426,fcc753c0ebbb1330f89b9dcb378c67f60d8b0c6c1f6e10b1a31af8a88017d640,GPT-5.6 Thinking,COMPLETE
u01-s010-v008,u01,s010,integer-multiplication-division,mc,advanced,DIFFICULTY_REPAIR,DIFFICULTY_TOO_HIGH,True,True,x=56÷(-7)=-8。,SAFE,數學、答案和解析正確，但只需例行符號判斷或乘除互逆，現有 advanced 標示不足以反映真正進階推理。,降為 standard，並在本技能另設需要多步條件判斷的 advanced 題以維持 3/3/3/3 分布。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,411,030b18da0567c6ef82a47db242fbe1430935559efc60127e893e81f281dc1ea3,GPT-5.6 Thinking,COMPLETE
u01-s010-v009,u01,s010,integer-multiplication-division,mc,advanced,DIFFICULTY_REPAIR,DIFFICULTY_TOO_HIGH,True,True,(-144)÷8=-18，再 (-18)÷(-3)=6。,SAFE,數學、答案和解析正確，但只需例行符號判斷或乘除互逆，現有 advanced 標示不足以反映真正進階推理。,降為 standard，並在本技能另設需要多步條件判斷的 advanced 題以維持 3/3/3/3 分布。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,36,434,270013b8434d6448e63cc199216a948a0d86dd8c80d658da942551670d871f94,GPT-5.6 Thinking,COMPLETE
u01-s010-v010,u01,s010,integer-multiplication-division,mc,literacy,PASS,,True,True,(-4)×9=-36 單位。,SAFE,情境條件完整且每一項都影響列式；答案、解析、步驟與選項分析一致。,原樣保留。,國中數與量範圍；另逐題檢查前置順序、記號與難度。,True,37,484,727a9ca906b7d05312b9f717b63f4c4a8096dde6f87fb10d425de80bca34bb0b,GPT-5.6 Thinking,COMPLETE
