questionId,unitId,skillId,questionType,field,original,rendererOutput,nestedOpen,extraPipes,unbalanced,proseSwallowed,directQuestionDisplay,recommendedVerdict
u01-s001-v009,u01,integer-number-classification,mc,text,已知 x=(√36-8)/2，則 x 的分類何者正確？,已知 x=[[frac:√36-8|2，則]] x 的分類何者正確？,False,False,False,True,True,RENDERER_REPAIR
u01-s005-cr001,u01,integer-opposite-number,cr,commonErrors[0],把14相反數寫1/14。,[[frac:把14相反數寫1|14]]。,False,False,False,True,False,RENDERER_REPAIR
u01-s005-v001,u01,integer-opposite-number,mc,commonMistake,把相反數誤寫成倒數1/7。,[[frac:把相反數誤寫成倒數1|7]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s001-cr001,u02,fraction-factor-multiple,cr,rubric[0].criteria,十個正因數完整且說明配對/平方根檢查。,[[frac:十個正因數完整且說明配對|平方根檢查]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s005-cr002,u02,fraction-lcm-basic,cr,rubric[0].criteria,六個值完整且有指數/因數篩選理由。,[[frac:六個值完整且有指數|因數篩選理由]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s007-cr002,u02,fraction-lcm-application,cr,alternativeSolutions[0],可用⌊300/48⌋=6，再列出驗證。,[[frac:可用⌊300|48⌋]]=6，再列出驗證。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr001,u02,fraction-compare,cr,fullCreditSolution[0],13/18與17/24：13×24=312，17×18=306，所以13/18較大。,[[frac:13|18與17]]/24：13×24=312，17×18=306，[[frac:所以13|18較大]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr001,u02,fraction-compare,cr,fullCreditSolution[1],13/18與29/40：13×40=520，29×18=522，所以13/18較小。,[[frac:13|18與29]]/40：13×40=520，29×18=522，[[frac:所以13|18較小]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr001,u02,fraction-compare,cr,fullCreditSolution[2],因此17/24＜13/18＜29/40。,[[frac:因此17|24＜13]]/[[frac:18＜29|40]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr001,u02,fraction-compare,cr,alternativeSolutions[0],可通分到360：255/360、260/360、261/360。,[[frac:可通分到360：255|360]]、[[frac:260|360]]、[[frac:261|360]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr001,u02,fraction-compare,cr,commonErrors[1],把17/24判最大。,[[frac:把17|24判最大]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr002,u02,fraction-compare,cr,fullCreditSolution[1],-14/18較大，所以B在右邊。,-[[frac:14|18較大]]，所以B在右邊。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr002,u02,fraction-compare,cr,fullCreditSolution[2],距離=|-15/18-(-14/18)|=1/18。,距離=|-[[frac:15|18]]-(-[[frac:14|18)|]]=[[frac:1|18]]。,False,True,False,False,False,RENDERER_REPAIR
u02-s008-cr002,u02,fraction-compare,cr,rubric[0].criteria,B在右、距離1/18且過程完整。,B在右、[[frac:距離1|18且過程完整]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-cr002,u02,fraction-compare,cr,independentReview.derivedResult,B在右邊，距離1/18。,B在右邊，[[frac:距離1|18]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v001,u02,fraction-compare,mc,explanation,依題意逐步處理：分母相同時比較分子；3＜4，所以3/5＜4/5。所以答案是「3/5＜4/5」。,依題意逐步處理：分母相同時比較分子；3＜4，[[frac:所以3|5＜4]]/5。[[frac:所以答案是「3|5＜4]]/5」。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v001,u02,fraction-compare,mc,steps[1],3＜4，所以3/5＜4/5,3＜4，[[frac:所以3|5＜4]]/5,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v002,u02,fraction-compare,mc,explanation,依題意逐步處理：分子相同且為正數時，分母較小的分數較大；6<8，所以5/6較大。所以答案是「5/6」。,依題意逐步處理：分子相同且為正數時，分母較小的分數較大；6<8，[[frac:所以5|6較大]]。[[frac:所以答案是「5|6」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v002,u02,fraction-compare,mc,steps[1],6<8，所以5/6較大,6<8，[[frac:所以5|6較大]],False,False,False,True,False,RENDERER_REPAIR
u02-s008-v002,u02,fraction-compare,mc,optionAnalysis[1].reason,5/6較大。,[[frac:5|6較大]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v002,u02,fraction-compare,mc,commonMistake,看到分母8較大就判5/8較大。,[[frac:看到分母8較大就判5|8較大]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v003,u02,fraction-compare,mc,explanation,依題意逐步處理：1/2=0.5，2/3約0.667，4/5=0.8，3/4=0.75；最大為4/5。所以答案是「4/5」。,[[frac:依題意逐步處理：1|2]]=0.5，[[frac:2|3約0.667]]，[[frac:4|5]]=0.8，[[frac:3|4]]=0.75；[[frac:最大為4|5]]。[[frac:所以答案是「4|5」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v003,u02,fraction-compare,mc,steps[0],1/2=0.5，2/3約0.667，4/5=0.8，3/4=0.75,[[frac:1|2]]=0.5，[[frac:2|3約0.667]]，[[frac:4|5]]=0.8，[[frac:3|4]]=0.75,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v003,u02,fraction-compare,mc,steps[1],最大為4/5,[[frac:最大為4|5]],False,False,False,True,False,RENDERER_REPAIR
u02-s008-v003,u02,fraction-compare,mc,optionAnalysis[0].reason,1/2最小。,[[frac:1|2最小]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v003,u02,fraction-compare,mc,optionAnalysis[1].reason,2/3小於3/4。,[[frac:2|3小於3]]/4。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v004,u02,fraction-compare,mc,explanation,依題意逐步處理：交叉比較絕對值：2×5=10，3×3=9，所以2/3>3/5；負數絕對值較大者反而較小，因此-2/3<-3/5。所以答案是「-2/3＜-3/5」。,依題意逐步處理：交叉比較絕對值：2×5=10，3×3=9，[[frac:所以2|3>3]]/5；負數絕對值較大者反而較小，因此-[[frac:2|3<]]-[[frac:3|5]]。所以答案是「-[[frac:2|3＜]]-[[frac:3|5」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v004,u02,fraction-compare,mc,steps[0],交叉比較絕對值：2×5=10，3×3=9，所以2/3>3/5,交叉比較絕對值：2×5=10，3×3=9，[[frac:所以2|3>3]]/5,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v006,u02,fraction-compare,mc,explanation,依題意逐步處理：正數取倒數後大小反轉；a<b，所以1/a>1/b。所以答案是「1/a＞1/b」。,依題意逐步處理：正數取倒數後大小反轉；a<b，[[frac:所以1|a>1]]/b。[[frac:所以答案是「1|a＞1]]/b」。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v006,u02,fraction-compare,mc,steps[1],a<b，所以1/a>1/b,a<b，[[frac:所以1|a>1]]/b,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v007,u02,fraction-compare,mc,explanation,依題意逐步處理：交叉相乘：17×29=493，22×23=506；506較大，所以22/29較大。所以答案是「22/29」。,依題意逐步處理：交叉相乘：17×29=493，22×23=506；506較大，[[frac:所以22|29較大]]。[[frac:所以答案是「22|29」]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v007,u02,fraction-compare,mc,steps[1],506較大，所以22/29較大,506較大，[[frac:所以22|29較大]],False,False,False,True,False,RENDERER_REPAIR
u02-s008-v007,u02,fraction-compare,mc,optionAnalysis[0].reason,493<506，因此17/23較小。,493<506，[[frac:因此17|23較小]]。,False,False,False,True,False,RENDERER_REPAIR
u02-s008-v007,u02,fraction-compare,mc,optionAnalysis[2].reason,22/29較大。,[[frac:22|29較大]]。,False,False,False,True,False,RENDERER_REPAIR
