subject,grade,semester,publisher,resource_title,edition_or_date,approval_or_catalog_evidence,url_or_path,source_hash,access_level,copyright_status,curriculum_codes,teaching_sequence,terminology,representations,examples_or_activities,misconceptions,production_adoption,final_audit_status,notes
chinese,7,1,南一書局企業股份有限公司,115學年度國民中學國文第1冊課本、習作,三版 / 1101400538 / 1131401236,NAER清冊第1列；國審字第108017,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,7,1,康軒文教事業股份有限公司,115學年度國民中學國文第1冊課本、習作,三版 / 1101400535 / 1131401190,NAER清冊第2列；國審字第108004,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,7,1,翰林出版事業股份有限公司,115學年度國民中學國文第1冊課本、習作,三版 / 1101400540 / 1131401162,NAER清冊第3列；國審字第108015,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,7,2,南一書局企業股份有限公司,115學年度國民中學國文第2冊課本、習作,三版 / 1101401729 / 1131402537,NAER清冊第4列；國審字第108078,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,7,2,康軒文教事業股份有限公司,115學年度國民中學國文第2冊課本、習作,三版 / 1101401571 / 1131402555,NAER清冊第5列；國審字第108052,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,7,2,翰林出版事業股份有限公司,115學年度國民中學國文第2冊課本、習作,三版 / 1101401625 / 1131402430,NAER清冊第6列；國審字第108074,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,8,1,南一書局企業股份有限公司,115學年度國民中學國文第3冊課本、習作,三版 / 1111400461 / 1141400760,NAER清冊第7列；國審字第109031,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,8,1,康軒文教事業股份有限公司,115學年度國民中學國文第3冊課本、習作,三版 / 1111400224 / 1141400463,NAER清冊第8列；國審字第109005,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,8,1,翰林出版事業股份有限公司,115學年度國民中學國文第3冊課本、習作,三版 / 1111400294 / 1141400759,NAER清冊第9列；國審字第109027,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
chinese,8,2,南一書局企業股份有限公司,115學年度國民中學國文第4冊課本、習作,三版 / 1111400949 / 1141402005,NAER清冊第10列；國審字第109079,https://textbooks.naer.edu.tw/DownLoadFile.aspx?ASParam=TUZIRSs3NSUyNjglMjQlN2QlMWIlMDR1eSUwZWdocCU3ZWZ3JTExd20lMWN1JTBiJTBjJTFiZm4lMDAlMTIlN2V3ZnQlMDMlMWVwJTBiJTBjJTA2JTFkJTFldg==,a2de4a4efa1ddbb45503e92d689e00e0b493e40d999b088c0f6c64164f4e5d52,official catalog metadata only; publisher full text not acquired,modern publisher textbook protected; metadata only,,volume and grade metadata only; no teaching sequence inferred,not reviewed at catalog layer,not reviewed at catalog layer,not copied or reviewed at catalog layer,not reviewed at catalog layer,reference candidate only; official curriculum remains scope authority,pending public-resource review,115學年度國民小學及國民中學審定本教科用書清冊
