auditOrder,questionId,questionType,difficulty,originalPrompt,originalChoices,answerIndex,primaryVerdict,secondaryIssues,mathematicsCorrect,answerVerified,difficultyReview,rendererReview,reason,recommendedAction,recommendedPrompt,originalQuestionUtf8Sha256
1,u01-s001-v001,mc,basic,下列哪一個數是整數？,"[""2/5"", ""-12"", ""0.4"", ""√3""]",1,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE,True,True,appropriate after prerequisite repair,fraction tokens render as intended,The first skill of the first unit uses √3 before square roots and irrational numbers have been introduced. The question is mathematically correct but violates the site's zero-foundation progression.,"Keep the integer-identification objective, but replace √3 with an already-taught non-integer rational number. Move irrational-number comparison to the square-root unit.",下列哪一個數是整數？,e8d6adbe7634d4e0b2f53cdadcf6623f2e8b3fc3ec8b6ede0cc901f7361d80bb
2,u01-s001-v002,mc,basic,下列哪一個數是有理數？,"[""π"", ""√11"", ""-7/9"", ""√2""]",2,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE,True,True,basic only after irrational-number instruction,fraction tokens render as intended,"The item depends on π, √11 and √2 before the zero-foundation sequence teaches square roots and irrational numbers.","Move this item to the later rational-versus-irrational skill, or rewrite it using only integers, fractions and finite decimals.",Move to the later irrational-number classification skill.,c21b2c83f50872a08af96ab35cdeef0204391e6d51b3ceac825ce1c8d498608f
3,u01-s001-v003,mc,basic,關於 0 的分類，下列敘述何者正確？,"[""0 是正整數"", ""0 是負整數"", ""0 是無理數"", ""0 是整數也是有理數，但不是正整數或負整數""]",3,WORDING_REPAIR,AWKWARD_SENTENCE,True,True,appropriate,safe,The mathematics and answer are correct. Step 1 contains the awkward wording「答案是是」.,Replace「先確認 0 是否屬於整數：答案是是。」with「先確認 0 是否屬於整數：0 是整數。」,關於 0 的分類，下列敘述何者正確？,0a0093fbb4adff1b00188b42083ed884f00d98934e2064472a9ca082d6166b00
4,u01-s001-v004,mc,standard,下列敘述何者一定正確？,"[""每一個整數都是有理數"", ""每一個有理數都是整數"", ""每一個負數都是負整數"", ""每一個有根號符號的數都是無理數""]",0,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE,True,True,appropriate after prerequisite repair,fraction tokens render as intended,"The set-inclusion reasoning is sound, but the fourth option requires prior knowledge of square-root simplification.",Either move the item later or replace the square-root option with a false statement involving finite decimals.,下列敘述何者一定正確？,a8218829257bfb1c6deebc53e7f20aeabff1417292648a7ca2030a1d0a15852a
5,u01-s001-v005,mc,standard,將 √49 化簡後，它屬於下列哪一類？,"[""無理數，但不是有理數"", ""正分數，但不是整數"", ""正整數，也是有理數"", ""只能說是實數，無法再分類""]",2,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE|METADATA_WORDING,True,True,appropriate in a square-root unit,safe,The item directly tests square-root simplification in the first skill of the first unit. The metadata phrase「測量根號化簡與分類的連結」also uses the wrong verb.,Move the item to the square-root classification skill. Replace metadata「測量」with「評量」.,將 √49 化簡後，它屬於下列哪一類？,ea39c7c65bd0a09d2e9646d2132ffd804c44a3b0d488c17cf6ac79eba78f258c
6,u01-s001-v006,mc,standard,小數 0.272727… 中，「27」持續重複。下列敘述何者正確？,"[""它是無理數，因為小數位數無限"", ""它是有理數，因為它是循環小數"", ""它是整數，因為重複規律固定"", ""無法判斷，因為沒有寫完所有小數位""]",1,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE,True,True,appropriate after recurring-decimal instruction,fractions in explanation render as intended,"The item assumes the theorem that recurring decimals are rational and can be converted to fractions, but the skill declares no prerequisites.",Move after recurring-decimal instruction or explicitly teach that prerequisite before assessment.,小數 0.272727… 中，「27」持續重複。下列敘述何者正確？,8a0a5627544d064301d05f3ca29018d9642b01a884d3f225f0d167cd5acc2cac
7,u01-s001-v007,mc,advanced,下列哪一組中的四個數全部都是有理數？,"[""-5、0、3/8、√81"", ""2/3、π、-4、0.6"", ""√2、7、0.125、-9/2"", ""√5、√16、1/7、-3""]",0,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE|DIFFICULTY_MISLABEL,True,True,"standard, not advanced",fraction tokens render as intended,"The item uses several square roots before their introduction. Once prerequisites are met, each wrong group contains one obvious irrational number, so the current advanced label is too high.","Move later and change difficulty from advanced to standard, or redesign distractors to require deeper reasoning.",下列哪一組中的四個數全部都是有理數？,066c53e0f8a6b67e67e51c5b87c499285b72f55b795b3f94e4edc126f0ba41b3
8,u01-s001-v008,mc,advanced,下列哪一個數是「有理數但不是整數」？,"[""6"", ""√7"", ""π"", ""-11/4""]",3,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE|DIFFICULTY_MISLABEL,True,True,"basic or standard, not advanced",fraction token renders as intended,The item uses √7 and π before irrational-number instruction. The two-condition classification is straightforward and does not justify an advanced label.,"Move later and lower the difficulty, or redesign it to require nontrivial comparison or justification.",下列哪一個數是「有理數但不是整數」？,318dc0e6678069ccbc2a1149d748835d77d56da9d897a1394d2718571956147f
9,u01-s001-v009,mc,advanced,已知 x=(√36-8)/2，則 x 的分類何者正確？,"[""x 是正整數，也是有理數"", ""x 是負整數，也是有理數"", ""x 是有理數但不是整數"", ""x 是無理數""]",1,RENDERER_REPAIR,DIRECT_RENDERER_DEFECT|CURRICULUM_SEQUENCE|DIFFICULTY_MISLABEL|FORMAT_REPAIR,True,True,"standard, not advanced",confirmed broken,The current fraction renderer converts the prompt into a fraction whose denominator becomes「2，則」. The item also uses square roots too early and is not advanced once prerequisites are known.,Rewrite the expression with an explicit division sign and move it to the later square-root classification skill.,已知 x＝（√36－8）÷2，則 x 的分類何者正確？,c893c8cd12ad5ec00efcb0adf47e5da2c62437ad41a5df80c3db7b6672b24e0d
10,u01-s001-v010,mc,literacy,某資料庫只能以「兩個整數的比」精確儲存數值。工程師要輸入下列四筆校正值，哪一筆無法用此格式精確儲存？,"[""0.125"", ""√25"", ""π"", ""-7/3""]",2,SEQUENCE_REPAIR,CURRICULUM_SEQUENCE|PRECISION_WORDING,True,True,appropriate as a later literacy item,fraction tokens render as intended,"The context is usable, but it relies on π and square-root classification before instruction. The storage rule should explicitly state that the denominator is nonzero.",Move later and rewrite the constraint as「以一個整數分子和一個非零整數分母精確記錄」.,某系統只能以一個整數分子和一個非零整數分母精確記錄數值。下列哪一筆無法以此格式精確記錄？,c1d52005dfbf880e58cb89fd069c8e43c976828c1e2d471d352629e78d981b94
