batchId,skills,skillCount,questionCount,lectureCount,status
B001,"['u01-s002', 'u01-s003', 'u01-s004', 'u01-s005']",4,56,4,MANUAL_AUDIT_COMPLETE
B002,"['u01-s006', 'u01-s007', 'u01-s008', 'u01-s009']",4,56,4,MANUAL_AUDIT_COMPLETE
B003,"['u01-s010', 'u01-s011', 'u01-s012', 'u01-s013']",4,56,4,MANUAL_AUDIT_COMPLETE
B004,"['u01-s014', 'u01-s015', 'u02-s001', 'u02-s002']",4,56,4,MANUAL_AUDIT_COMPLETE
B005,"['u02-s003', 'u02-s004', 'u02-s005', 'u02-s006']",4,56,4,MANUAL_AUDIT_COMPLETE
B006,"['u02-s007', 'u02-s008', 'u02-s009', 'u02-s010']",4,56,4,MANUAL_AUDIT_COMPLETE
B007,"['u02-s011', 'u02-s013', 'u02-s014', 'u02-s015']",4,56,4,MANUAL_AUDIT_COMPLETE
B008,"['u03-s001', 'u03-s002', 'u03-s003', 'u03-s004']",4,56,4,MANUAL_AUDIT_COMPLETE
B009,"['u03-s005', 'u03-s006', 'u03-s007', 'u03-s008']",4,56,4,MANUAL_AUDIT_COMPLETE
B010,"['u03-s009', 'u03-s010', 'u03-s011', 'u03-s012']",4,56,4,PENDING_MANUAL
B011,"['u03-s013', 'u03-s014', 'u03-s015', 'u04-s001']",4,56,4,PENDING_MANUAL
B012,"['u04-s002', 'u04-s003', 'u04-s004', 'u04-s005']",4,56,4,PENDING_MANUAL
B013,"['u04-s006', 'u04-s007', 'u04-s008', 'u04-s009']",4,56,4,PENDING_MANUAL
B014,"['u04-s010', 'u04-s011', 'u04-s012', 'u04-s013']",4,56,4,PENDING_MANUAL
B015,"['u04-s014', 'u05-s001', 'u05-s002', 'u05-s003']",4,56,4,PENDING_MANUAL
B016,"['u05-s004', 'u05-s005', 'u05-s006', 'u05-s007']",4,56,4,PENDING_MANUAL
B017,"['u05-s008', 'u05-s009', 'u05-s010', 'u05-s011']",4,56,4,PENDING_MANUAL
B018,"['u05-s012', 'u06-s001', 'u06-s002', 'u06-s003']",4,56,4,PENDING_MANUAL
B019,"['u06-s004', 'u06-s005', 'u06-s006', 'u06-s007']",4,56,4,PENDING_MANUAL
B020,"['u06-s008', 'u06-s009', 'u06-s010', 'u06-s011']",4,56,4,PENDING_MANUAL
B021,"['u06-s012', 'u07-s001', 'u07-s002', 'u07-s003']",4,56,4,PENDING_MANUAL
B022,"['u07-s004', 'u07-s005', 'u07-s006', 'u07-s007']",4,56,4,PENDING_MANUAL
B023,"['u07-s008', 'u07-s009', 'u07-s010', 'u07-s011']",4,56,4,PENDING_MANUAL
B024,"['u07-s012', 'u08-s001', 'u08-s002', 'u08-s003']",4,56,4,PENDING_MANUAL
B025,"['u08-s004', 'u08-s005', 'u08-s006', 'u08-s007']",4,56,4,PENDING_MANUAL
B026,"['u08-s008', 'u08-s009', 'u08-s010', 'u08-s011']",4,56,4,PENDING_MANUAL
B027,"['u08-s012', 'u08-s013', 'u08-s014', 'u09-s001']",4,56,4,PENDING_MANUAL
B028,"['u09-s002', 'u09-s003', 'u09-s004', 'u09-s005']",4,56,4,PENDING_MANUAL
B029,"['u09-s006', 'u09-s007', 'u09-s008', 'u09-s009']",4,56,4,PENDING_MANUAL
B030,"['u09-s010', 'u09-s011', 'u09-s012', 'u09-s013']",4,56,4,PENDING_MANUAL
B031,"['u09-s014', 'u09-s015', 'u09-s016', 'u10-s001']",4,56,4,PENDING_MANUAL
B032,"['u10-s002', 'u10-s003', 'u10-s004', 'u10-s005']",4,56,4,PENDING_MANUAL
B033,"['u10-s006', 'u10-s007', 'u10-s008', 'u10-s009']",4,56,4,PENDING_MANUAL
B034,"['u10-s010', 'u10-s011', 'u10-s012', 'u10-s013']",4,56,4,PENDING_MANUAL
B035,"['u11-s001', 'u11-s002', 'u11-s003', 'u11-s004']",4,56,4,PENDING_MANUAL
B036,"['u11-s005', 'u11-s006', 'u11-s007', 'u11-s008']",4,56,4,PENDING_MANUAL
B037,"['u11-s009', 'u11-s010', 'u11-s011', 'u11-s012']",4,56,4,PENDING_MANUAL
B038,"['u11-s013', 'u11-s014', 'u11-s015', 'u11-s016']",4,56,4,PENDING_MANUAL
B039,"['u12-s001', 'u12-s002', 'u12-s003', 'u12-s004']",4,56,4,PENDING_MANUAL
B040,"['u12-s005', 'u12-s006', 'u12-s007', 'u12-s008']",4,56,4,PENDING_MANUAL
B041,"['u12-s009', 'u12-s010', 'u13-s001', 'u13-s002']",4,56,4,PENDING_MANUAL
B042,"['u13-s003', 'u13-s004', 'u13-s005', 'u13-s006']",4,56,4,PENDING_MANUAL
B043,"['u13-s007', 'u13-s008', 'u13-s009', 'u13-s010']",4,56,4,PENDING_MANUAL
B044,"['u13-s011', 'u13-s012', 'u13-s013', 'u13-s014']",4,56,4,PENDING_MANUAL
B045,"['u13-s015', 'u14-s001', 'u14-s002', 'u14-s003']",4,56,4,PENDING_MANUAL
B046,"['u14-s004', 'u14-s005', 'u14-s006', 'u14-s007']",4,56,4,PENDING_MANUAL
B047,"['u14-s008', 'u14-s009', 'u14-s010', 'u14-s011']",4,56,4,PENDING_MANUAL
B048,"['u14-s012', 'u15-s001', 'u15-s002', 'u15-s003']",4,56,4,PENDING_MANUAL
B049,"['u15-s004', 'u15-s005', 'u15-s006', 'u15-s007']",4,56,4,PENDING_MANUAL
B050,"['u15-s008', 'u15-s009', 'u15-s010', 'u15-s011']",4,56,4,PENDING_MANUAL
B051,"['u15-s012', 'u15-s013', 'u16-s001', 'u16-s002']",4,56,4,PENDING_MANUAL
B052,"['u16-s003', 'u16-s004', 'u16-s005', 'u16-s006']",4,56,4,PENDING_MANUAL
B053,"['u16-s007', 'u16-s008', 'u16-s009', 'u16-s010']",4,56,4,PENDING_MANUAL
B054,"['u16-s011', 'u16-s012', 'u16-s013', 'u16-s014']",4,56,4,PENDING_MANUAL
B055,"['u16-s015', 'u16-s016', 'u16-s017', 'u16-s018']",4,56,4,PENDING_MANUAL
B056,"['u17-s001', 'u17-s002', 'u17-s003', 'u17-s004']",4,56,4,PENDING_MANUAL
B057,"['u17-s005', 'u17-s006', 'u17-s007', 'u17-s008']",4,56,4,PENDING_MANUAL
B058,"['u17-s009', 'u17-s010', 'u17-s011', 'u17-s012']",4,56,4,PENDING_MANUAL
B059,"['u17-s013', 'u17-s014', 'u17-s015', 'u17-s016']",4,56,4,PENDING_MANUAL
B060,"['u17-s017', 'u17-s018', 'u18-s001', 'u18-s002']",4,56,4,PENDING_MANUAL
B061,"['u18-s003', 'u18-s004', 'u18-s005', 'u18-s006']",4,56,4,PENDING_MANUAL
