artifactType,artifactId,unitId,slot,skillId,status,originalSha256,stringFieldCount,unicodeCharacterCount
lecture,u01-s001-lecture-r1,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,ceb2f79ef41b40ecbc82b65da12463bbe8be6feb52a835fef05b64d3f5558430,182,2807
question,u01-s001-v001,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,e8d6adbe7634d4e0b2f53cdadcf6623f2e8b3fc3ec8b6ede0cc901f7361d80bb,35,532
question,u01-s001-v002,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,c21b2c83f50872a08af96ab35cdeef0204391e6d51b3ceac825ce1c8d498608f,35,528
question,u01-s001-v003,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,0a0093fbb4adff1b00188b42083ed884f00d98934e2064472a9ca082d6166b00,35,560
question,u01-s001-v004,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,a8218829257bfb1c6deebc53e7f20aeabff1417292648a7ca2030a1d0a15852a,35,598
question,u01-s001-v005,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,ea39c7c65bd0a09d2e9646d2132ffd804c44a3b0d488c17cf6ac79eba78f258c,35,542
question,u01-s001-v006,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,8a0a5627544d064301d05f3ca29018d9642b01a884d3f225f0d167cd5acc2cac,35,635
question,u01-s001-v007,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,066c53e0f8a6b67e67e51c5b87c499285b72f55b795b3f94e4edc126f0ba41b3,35,594
question,u01-s001-v008,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,318dc0e6678069ccbc2a1149d748835d77d56da9d897a1394d2718571956147f,35,529
question,u01-s001-v009,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,c893c8cd12ad5ec00efcb0adf47e5da2c62437ad41a5df80c3db7b6672b24e0d,35,566
question,u01-s001-v010,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,c1d52005dfbf880e58cb89fd069c8e43c976828c1e2d471d352629e78d981b94,36,634
question,u01-s001-v011,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,ecdb25b1d9be6ce9369ac72496e79c4e24f2a9a11e7eefc7dbbe69e6754c6044,36,615
question,u01-s001-v012,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,338efbd44f62d0ce6f5dd2e08d0cd86d95c19ece7e0f9eb3208d67429650cb59,36,628
question,u01-s001-cr001,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,2e66e902fec46d452c70f69ab68da084a18b088251b1ce689c5fc115fa529ec7,33,831
question,u01-s001-cr002,u01,s001,integer-number-classification,REVIEWED_AND_PUBLISHED_R1,e33f5b66ef38dc4cd7a5cb925561115b86dc81bf2b856592b0256d8253e2975b,31,824
lecture,u01-s002-lecture-r1,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,e01c2715dfed58b025a5d4b6d835f431c5b2ddcb845d9e150694f2079831931a,138,2158
question,u01-s002-v001,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,893f0c14e5dbbc103fc6ae5b9e18e00c585d5dec8e75284ea2dccbc77b8dfc70,36,532
question,u01-s002-v002,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,c87f8c1e7cc96b82dac56b313ca4165412a6d7116c4716051f8d2f442bb95bf6,36,473
question,u01-s002-v003,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,a2b0871b4d900e0b43aa404206513da4c773e1b1a14f7660490034b2df554af7,36,485
question,u01-s002-v004,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,9a34c4178e3df5834afcac6d84edae31ca07c6de089288eb98c20a8af98e3d86,36,492
question,u01-s002-v005,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,6b6035f2d52cd1d9f8523e2fc9f78627360ccc53373e4b9a77c1650126fa652f,36,568
question,u01-s002-v006,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,3d0d548f9447dad39dd438620abe519ed6a1bc03c17276c13f1288154afcbef7,36,465
question,u01-s002-v007,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,6475fef21810012c31d546b3ed2adfd8a376b21d2a5f53a9d2e234756dbb0de9,36,554
question,u01-s002-v008,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,91c3e4e0e1d8f18d987213548dfff867cabfb7a2f5896e8e4381948a140c97a5,36,555
question,u01-s002-v009,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,5339826ea6ec03ba443adc63eede0bf08d63f2c90565875a015f8750da55cd6d,36,463
question,u01-s002-v010,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,d3c8b8f92b3a16426140f11e92e9bf4d4ca9503f697df516c5268c19d35d8c8c,37,686
question,u01-s002-v011,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,d411c74b216a252f7e4ff1c9619d889683f7d38fd2ac59ac57bdfecbe333f8b6,37,633
question,u01-s002-v012,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,0e972d192fbf9e5b3e48f79efc72ed79d5aee3e64220c2286d7fa9615ad2c633,37,622
question,u01-s002-cr001,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,e964cc54559b279319c72dba7ad6a3917e25128426713e8a16854afdf74cbbe1,29,596
question,u01-s002-cr002,u01,s002,integer-positive-negative-meaning,MANUAL_AUDIT_COMPLETE_BATCH_001,5e006e041b4e86bbbfd40b484364d86599f0a892f88741c445d775ffe9a35d5d,29,577
lecture,u01-s003-lecture-r1,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,877eff98ba99d6a973b7831fb5d7ec81a7ed44c0f17d366a9b7131458c56ffa0,136,1836
question,u01-s003-v001,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,92254828711517a154d1571486e6368d07447609b296c92839d739261ad028c5,36,412
question,u01-s003-v002,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,dfc94cff623c02e2c8963c837dad7b1e5b27210b3151dbe47172059a064343dc,36,451
question,u01-s003-v003,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,8ea629db074d1cf03edb4d061d2efbf95f319f294459cb84ab5314703196ecdc,37,417
question,u01-s003-v004,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,1824a536f94916536bee2bd1b7c3e78bd7e5051451fe0a7b94f60048bf7f8847,36,431
question,u01-s003-v005,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,5e60d331864efeb2f04561a4228f786021239cfa6d4837112f6e7d91b1bbfbc8,36,439
question,u01-s003-v006,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,3a03f2661f517666fa8d855caad4eb2766d911f71eeb5a7a18d1cb10ed6d119a,37,428
question,u01-s003-v007,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,2904e585d10be6dfdcefabd40c7271fa8cf6ef8002b86b1144254fb064dc850a,36,492
question,u01-s003-v008,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,014bf85751654e4cafa51585e4d1701d8a149488def696bcecc832300cc7e447,36,444
question,u01-s003-v009,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,44b88c768333c20ee6be91dae4e6b47990a121a8b007ba7caf3a5b2ace31213a,36,468
question,u01-s003-v010,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,d4ff86e9eebcd33245227f8abd7f16699ca11b3276b4e0267549213c050445ac,37,490
question,u01-s003-v011,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,6c67ca13a495d741d518797c236cf8fcd7efb060f9bae6b7cdb522991e265d38,37,544
question,u01-s003-v012,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,de792f791a254b25b375de0214ec532149feb56b052b6d57bf4dc2696e61ce6c,37,495
question,u01-s003-cr001,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,f6f050c52acb6550d23a7bc09e52cd91819ea3534bab2d13d20e2a9dddb34c74,29,521
question,u01-s003-cr002,u01,s003,integer-number-line-position,MANUAL_AUDIT_COMPLETE_BATCH_001,de019f3f6e8168ccf8b9607483223d6285310403ae03611c4f2d0c2e0927293d,29,501
lecture,u01-s004-lecture-r1,u01,s004,integer-number-comparison,MANUAL_AUDIT_COMPLETE_BATCH_001,43eff495d600db2d390f5b7a357d41ab8a735d71128993a60da5c3d7b6411030,135,1823
