questionId,unitId,slot,skillId,questionType,difficulty,primaryVerdict,issueCodes,mathematicsCorrect,answerIndexCorrect,rendererVerdict,reason,recommendedAction,exactTextRepair,originalArtifactSha256,reviewedStringFieldCount,reviewedUnicodeCharacterCount,manualReviewer,manualReviewStatus
u01-s002-v001,u01,s002,integer-positive-negative-meaning,mc,basic,PASS,,True,True,SAFE,題幹、四個選項、答案、解釋和步驟一致；只檢驗海平面上下與正負號的意義。,原樣保留。,,893f0c14e5dbbc103fc6ae5b9e18e00c585d5dec8e75284ea2dccbc77b8dfc70,36,532,GPT-5.6 Thinking,COMPLETE
u01-s002-v002,u01,s002,integer-positive-negative-meaning,mc,basic,WORDING_REPAIR,AMBIGUOUS_SIGN_CONVENTION|AWKWARD_BASELINE,True,True,SAFE,題幹沒有明確約定餘額增加為正，且「以帳戶餘額不變為基準」不自然。,明確寫出增加記正、減少記負。,若規定帳戶餘額增加記為正、減少記為負，存入 500 元的變化量應記為何者？,c87f8c1e7cc96b82dac56b313ca4165412a6d7116c4716051f8d2f442bb95bf6,36,473,GPT-5.6 Thinking,COMPLETE
u01-s002-v003,u01,s002,integer-positive-negative-meaning,mc,basic,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_SUBTRACTION_NOT_YET_TAUGHT,True,True,SAFE,計算 98－100 需要整數減法，但本技能之前尚未教整數減法。,改成只判讀高於或低於標準的符號，或移到整數減法之後。,,a2b0871b4d900e0b43aa404206513da4c773e1b1a14f7660490034b2df554af7,36,485,GPT-5.6 Thinking,COMPLETE
u01-s002-v004,u01,s002,integer-positive-negative-meaning,mc,standard,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,由 20＋(-6) 還原實際溫度需要整數加法，超過本技能目前的前置順序。,改成解讀偏差方向，或移到整數加法之後。,,9a34c4178e3df5834afcac6d84edae31ca07c6de089288eb98c20a8af98e3d86,36,492,GPT-5.6 Thinking,COMPLETE
u01-s002-v005,u01,s002,integer-positive-negative-meaning,mc,standard,WORDING_REPAIR,TERM_CLARITY,True,True,SAFE,數學與答案正確；「帶號位置」可理解，但對零基礎學生不如「位置紀錄」清楚。,只調整題幹用語。,地圖規定向東為正方向。甲地在基準點西方 8 公里，乙地在基準點東方 3 公里，兩地相對基準點的位置紀錄依序為何？,6b6035f2d52cd1d9f8523e2fc9f78627360ccc53373e4b9a77c1650126fa652f,36,568,GPT-5.6 Thinking,COMPLETE
u01-s002-v006,u01,s002,integer-positive-negative-meaning,mc,standard,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,計算 -4＋9 需要整數加法。,移到整數加法技能，或在本技能改成只辨認 +9 代表升高。,,3d0d548f9447dad39dd438620abe519ed6a1bc03c17276c13f1288154afcbef7,36,465,GPT-5.6 Thinking,COMPLETE
u01-s002-v007,u01,s002,integer-positive-negative-meaning,mc,advanced,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT|DIFFICULTY_TOO_HIGH,True,True,SAFE,需還原兩個實際量再相減；在學過運算後屬標準題，不足以標 advanced。,移到整數運算後並降為 standard，或重新設計真正的進階推理。,,6475fef21810012c31d546b3ed2adfd8a376b21d2a5f53a9d2e234756dbb0de9,36,554,GPT-5.6 Thinking,COMPLETE
u01-s002-v008,u01,s002,integer-positive-negative-meaning,mc,advanced,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,不同基準的概念良好，但需先做兩次整數運算才能比較。,保留情境，移到整數加減或綜合素養技能。,,91c3e4e0e1d8f18d987213548dfff867cabfb7a2f5896e8e4381948a140c97a5,36,555,GPT-5.6 Thinking,COMPLETE
u01-s002-v009,u01,s002,integer-positive-negative-meaning,mc,advanced,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,直接檢驗三個整數的加法，應屬整數加法或混合運算。,移到整數加法技能。,,5339826ea6ec03ba443adc63eede0bf08d63f2c90565875a015f8750da55cd6d,36,463,GPT-5.6 Thinking,COMPLETE
u01-s002-v010,u01,s002,integer-positive-negative-meaning,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT|NEGATIVE_COMPARISON_NOT_YET_TAUGHT,True,True,SAFE,同時需要整數加法與負數大小比較，兩者都在後續技能。,移到整數綜合素養技能。,,d3c8b8f92b3a16426140f11e92e9bf4d4ca9503f697df516c5268c19d35d8c8c,37,686,GPT-5.6 Thinking,COMPLETE
u01-s002-v011,u01,s002,integer-positive-negative-meaning,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_SUBTRACTION_NOT_YET_TAUGHT,True,True,SAFE,需計算 +7－(-18)，屬整數減法。,移到整數減法或綜合素養技能。,,d411c74b216a252f7e4ff1c9619d889683f7d38fd2ac59ac57bdfecbe333f8b6,37,633,GPT-5.6 Thinking,COMPLETE
u01-s002-v012,u01,s002,integer-positive-negative-meaning,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,需還原兩筆支出並求差，屬整數運算。,移到整數運算後的素養題。,,0e972d192fbf9e5b3e48f79efc72ed79d5aee3e64220c2286d7fa9615ad2c633,37,622,GPT-5.6 Thinking,COMPLETE
u01-s002-cr001,u01,s002,integer-positive-negative-meaning,constructed-response,standard,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_SUBTRACTION_NOT_YET_TAUGHT,True,True,SAFE,三次偏差計算皆使用整數減法。,移到整數減法後，或改成只要求判斷偏差正負。,,e964cc54559b279319c72dba7ad6a3917e25128426713e8a16854afdf74cbbe1,29,596,GPT-5.6 Thinking,COMPLETE
u01-s002-cr002,u01,s002,integer-positive-negative-meaning,constructed-response,advanced,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,需分別還原高度並求差，屬整數加減綜合。,移到整數運算後的非選題。,,5e006e041b4e86bbbfd40b484364d86599f0a892f88741c445d775ffe9a35d5d,29,577,GPT-5.6 Thinking,COMPLETE
u01-s003-v001,u01,s003,integer-number-line-position,mc,basic,PASS,,True,True,SAFE,題幹、答案與解析一致，只要求辨認原點、方向或刻度；相關圖形的標示、title 與 desc 已核對正確。,原樣保留。,,92254828711517a154d1571486e6368d07447609b296c92839d739261ad028c5,36,412,GPT-5.6 Thinking,COMPLETE
u01-s003-v002,u01,s003,integer-number-line-position,mc,basic,PASS,,True,True,SAFE,題幹、答案與解析一致，只要求辨認原點、方向或刻度；相關圖形的標示、title 與 desc 已核對正確。,原樣保留。,,dfc94cff623c02e2c8963c837dad7b1e5b27210b3151dbe47172059a064343dc,36,451,GPT-5.6 Thinking,COMPLETE
u01-s003-v003,u01,s003,integer-number-line-position,mc,basic,PASS,,True,True,SAFE,題幹、答案與解析一致，只要求辨認原點、方向或刻度；相關圖形的標示、title 與 desc 已核對正確。,原樣保留。,,8ea629db074d1cf03edb4d061d2efbf95f319f294459cb84ab5314703196ecdc,37,417,GPT-5.6 Thinking,COMPLETE
u01-s003-v004,u01,s003,integer-number-line-position,mc,standard,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_ADDITION_NOT_YET_TAUGHT,True,True,SAFE,由 -2 向右移 5 並計算 -2＋5，需要整數加法。,移到整數加法，或改成圖上直接讀取終點。,,1824a536f94916536bee2bd1b7c3e78bd7e5051451fe0a7b94f60048bf7f8847,36,431,GPT-5.6 Thinking,COMPLETE
u01-s003-v005,u01,s003,integer-number-line-position,mc,standard,MOVE_OR_REPLACE,PREREQUISITE_ORDER|MIDPOINT_OUT_OF_SEQUENCE,True,True,SAFE,負坐標中點平均需要整數加法與除法，且不是本技能的基礎定位目標。,移到較後的坐標或平均概念，並以更符合該單元的題目取代。,,5e60d331864efeb2f04561a4228f786021239cfa6d4837112f6e7d91b1bbfbc8,36,439,GPT-5.6 Thinking,COMPLETE
u01-s003-v006,u01,s003,integer-number-line-position,mc,standard,PASS,,True,True,SAFE,題幹、答案與解析一致，只要求辨認原點、方向或刻度；相關圖形的標示、title 與 desc 已核對正確。,原樣保留。,,3a03f2661f517666fa8d855caad4eb2766d911f71eeb5a7a18d1cb10ed6d119a,37,428,GPT-5.6 Thinking,COMPLETE
u01-s003-v007,u01,s003,integer-number-line-position,mc,advanced,MOVE_OR_REPLACE,PREREQUISITE_ORDER|POINT_REFLECTION_OUT_OF_SEQUENCE,True,True,SAFE,關於坐標 1 的點對稱需使用中點與運算，不是初學數線定位。,移到坐標幾何或後續對稱內容。,,2904e585d10be6dfdcefabd40c7271fa8cf6ef8002b86b1144254fb064dc850a,36,492,GPT-5.6 Thinking,COMPLETE
u01-s003-v008,u01,s003,integer-number-line-position,mc,advanced,MOVE_OR_REPLACE,PREREQUISITE_ORDER|MIDPOINT_OUT_OF_SEQUENCE|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,先求中點再移動，混合兩個尚未學習的程序。,移到較後單元並替換成本技能的刻度判讀題。,,014bf85751654e4cafa51585e4d1701d8a149488def696bcecc832300cc7e447,36,444,GPT-5.6 Thinking,COMPLETE
u01-s003-v009,u01,s003,integer-number-line-position,mc,advanced,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,題目需要整數加減或連續移動計算，而整數運算尚未在課程順序中出現。,移到整數加減後，或改為不用計算即可直接讀圖的位置題。,,44b88c768333c20ee6be91dae4e6b47990a121a8b007ba7caf3a5b2ace31213a,36,468,GPT-5.6 Thinking,COMPLETE
u01-s003-v010,u01,s003,integer-number-line-position,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,題目需要整數加減或連續移動計算，而整數運算尚未在課程順序中出現。,移到整數加減後，或改為不用計算即可直接讀圖的位置題。,,d4ff86e9eebcd33245227f8abd7f16699ca11b3276b4e0267549213c050445ac,37,490,GPT-5.6 Thinking,COMPLETE
u01-s003-v011,u01,s003,integer-number-line-position,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,題目需要整數加減或連續移動計算，而整數運算尚未在課程順序中出現。,移到整數加減後，或改為不用計算即可直接讀圖的位置題。,,6c67ca13a495d741d518797c236cf8fcd7efb060f9bae6b7cdb522991e265d38,37,544,GPT-5.6 Thinking,COMPLETE
u01-s003-v012,u01,s003,integer-number-line-position,mc,literacy,SEQUENCE_REPAIR,PREREQUISITE_ORDER|INTEGER_OPERATIONS_NOT_YET_TAUGHT,True,True,SAFE,題目需要整數加減或連續移動計算，而整數運算尚未在課程順序中出現。,移到整數加減後，或改為不用計算即可直接讀圖的位置題。,,de792f791a254b25b375de0214ec532149feb56b052b6d57bf4dc2696e61ce6c,37,495,GPT-5.6 Thinking,COMPLETE
